OldName,ID,name,Read,Experiment,Mode,NewName
21054_122_S37_L999_R1_001_cutadapt.fastq,21054,122,R1,,,T3_3340_122_CTL_HW_M_G2_21054.fq
21075_123_S58_L999_R1_001_cutadapt.fastq,21075,123,R1,,,T4_3340_123_CTL_HW_M_G3_21075.fq
21154_124_S136_L999_R1_001_cutadapt.fastq,21154,124,R1,,,T5_3340_124_CTL_HW_M_G7_21154.fq
21034_125_S17_L999_R1_001_cutadapt.fastq,21034,125,R1,,,T6_3340_125_CTL_HW_M_G1_21034.fq
21055_126_S38_L999_R1_001_cutadapt.fastq,21055,126,R1,,,T7_3340_126_CTL_HW_M_G2_21055.fq
21093_127_S76_L999_R1_001_cutadapt.fastq,21093,127,R1,,,T8_3340_127_CTL_HW_M_G4_21093.fq
21114_128_S97_L999_R1_001_cutadapt.fastq,21114,128,R1,,,T9_3340_128_CTL_HW_M_G5_21114.fq
21094_129_S77_L999_R1_001_cutadapt.fastq,21094,129,R1,,,T10_3340_129_CTL_HW_M_G4_21094.fq
21095_130_S78_L999_R1_001_cutadapt.fastq,21095,130,R1,,,T0_3350_130_CTL_WT_F_G4_21095.fq
21115_131_S98_L999_R1_001_cutadapt.fastq,21115,131,R1,,,T1_3350_131_CTL_WT_F_G5_21115.fq
21135_132_S118_L999_R1_001_cutadapt.fastq,21135,132,R1,,,T2_3350_132_CTL_WT_F_G6_21135.fq
21035_133_S18_L999_R1_001_cutadapt.fastq,21035,133,R1,,,T3_3350_133_CTL_WT_F_G1_21035.fq
21116_134_S99_L999_R1_001_cutadapt.fastq,21116,134,R1,,,T4_3350_134_CTL_WT_F_G5_21116.fq
21136_135_S119_L999_R1_001_cutadapt.fastq,21136,135,R1,,,T5_3350_135_CTL_WT_F_G6_21136.fq
21056_136_S39_L999_R1_001_cutadapt.fastq,21056,136,R1,,,T6_3350_136_CTL_WT_F_G2_21056.fq
21096_137_S79_L999_R1_001_cutadapt.fastq,21096,137,R1,,,T7_3350_137_CTL_WT_F_G4_21096.fq
21036_138_S19_L999_R1_001_cutadapt.fastq,21036,138,R1,,,T8_3350_138_CTL_WT_F_G1_21036.fq
21076_139_S59_L999_R1_001_cutadapt.fastq,21076,139,R1,,,T9_3350_139_CTL_WT_F_G3_21076.fq

