gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
C5ar2,0.049,0.024,0.026,0.251,1.164,0.06,0.083,0.02,0,0.147,0.026,0.015,0,0
C6,0.088,0.002,0,0.003,0.006,0.001,0.57,0.179,0,0.002,0.002,0,0,0
C730034F03Rik,0.196,0.065,0.028,0.202,0.194,0.06,0.074,0.051,0.059,0.044,0.051,0.096,0.038,0.168
C77080,0.099,0.001,0.183,0.048,0.051,0.048,0.001,0.001,0,0.013,0,0.048,0,0
C77370,0,0,0.007,0.014,0.003,0.003,0.001,0.001,0,0,0,0,0,0
C78197,0,0.007,0,0,0,0.003,0,0,0,0,0,0.017,0,0
C87436,0.237,0.161,0.256,0.304,0.382,0.182,0.262,0.187,0.187,0.175,0.09,0.258,0.24,0.603
C8g,0,0.018,0.005,0.011,0.009,0.005,0.038,0.033,0,0.007,0.014,0.008,0,0
C920006O11Rik,0.024,0.024,0.03,0.026,0.035,0.016,0.098,0.066,0.013,0.023,0.02,0.068,0.023,0
C920021L13Rik,0,0.013,0.02,0.011,0.012,0.007,0.02,0.017,0.031,0.013,0.023,0.072,0.027,0
CAAA01147332.1,0,0.031,0.061,0.031,0.013,0.057,0.033,0.015,0.051,0.023,0,0.061,0,0
Caap1,0.158,0.118,0.233,0.256,0.199,0.119,0.273,0.207,0.091,0.168,0.078,0.311,0.201,0
Cab39,0.636,0.71,0.583,0.727,0.55,0.674,0.435,0.337,0.367,0.538,0.21,0.653,0.42,0.915
Cab39l,0.302,0.462,0.252,0.216,0.187,0.407,0.202,0.166,0.251,0.257,0.05,0.436,0.279,0.468
Cabin1,0.129,0.107,0.21,0.149,0.133,0.141,0.292,0.232,0.145,0.175,0.074,0.407,0.082,0.738
Cables1,0.102,0.057,0.057,0.105,0.116,0.167,0.041,0.048,0.089,0.054,0.012,0.039,0,0
Cables2,0.096,0.086,0.309,0.594,0.132,0.1,0.108,0.08,0.088,0.099,0.032,0.036,0.092,0.157
Cabp1,0,0.001,0.107,0.022,0.002,0.01,0.003,0.008,0,0.004,0.002,0.34,0,1.637
Cabp4,0,0.002,0,0.002,0.008,0.002,0.001,0,0,0,0,0,0.022,0
Cabp7,0,0.001,0,0.001,0.002,0.004,0.005,0.004,0,0,0.004,0,0.029,0
Cacfd1,0.077,0.344,0.238,0.147,0.133,0.305,0.28,0.254,0.069,0.352,0.293,0.285,0.398,0.148
